group_id,kind,module,representative_path,item_count,pending_count,priority,sample_item_ids,review_scope
GRP-00107,CONSTRUCTOR,projectlibre_ui,projectlibre_ui/src/com/projectlibre1/menu/ExtRibbonFactory.java,1,0,HIGH,PLD-6DD9D14AD25BC564,review related Java symbols in the same source file
GRP-00108,CONSTRUCTOR,projectlibre_ui,projectlibre_ui/src/com/projectlibre1/menu/ExtToolBarFactory.java,1,0,HIGH,PLD-1B36E3CCFD00A291,review related Java symbols in the same source file
GRP-00109,CONSTRUCTOR,projectlibre_ui,projectlibre_ui/src/com/projectlibre1/menu/MenuManager.java,1,1,HIGH,PLD-A848993D95B9BE53,review related Java symbols in the same source file
GRP-00110,FIELD,projectlibre_core,modules/projectlibre_core/src/main/java/com/projectlibre/core/fields/Field.java,5,5,LOW,"PLD-F3A3F8505A9E40D1,PLD-0B765E730416F272,PLD-B1B063C1D0345F99,PLD-9ABE94D64DAFFBF1,PLD-1687B9CA200217C6",review related Java symbols in the same source file
GRP-00111,FIELD,projectlibre_core,modules/projectlibre_core/src/main/java/com/projectlibre/core/fields/FieldList.java,3,3,LOW,"PLD-16D861311C406F43,PLD-D2D26CDBDC623694,PLD-7786B0D5AFDF464D",review related Java symbols in the same source file
GRP-00112,FIELD,projectlibre_core,modules/projectlibre_core/src/main/java/com/projectlibre/core/fields/FieldUtil.java,1,1,LOW,PLD-6186A6E7DDD69582,review related Java symbols in the same source file
GRP-00113,FIELD,projectlibre_core,modules/projectlibre_core/src/main/java/com/projectlibre/core/hierarchy/DefaultHierarchy.java,2,2,LOW,"PLD-371B062A2BC6F623,PLD-6321096663015AFD",review related Java symbols in the same source file
GRP-00114,FIELD,projectlibre_core,modules/projectlibre_core/src/main/java/com/projectlibre/core/hierarchy/DefaultHierarchyNode.java,3,3,LOW,"PLD-A53DCB8F9546D841,PLD-BD6D7076476CB965,PLD-295280519D727868",review related Java symbols in the same source file
GRP-00115,FIELD,projectlibre_core,modules/projectlibre_core/src/main/java/com/projectlibre/core/hierarchy/Hierarchy.java,2,2,LOW,"PLD-D59A738383FEE603,PLD-31AECCDF5EE20B47",review related Java symbols in the same source file
GRP-00116,FIELD,projectlibre_core,modules/projectlibre_core/src/main/java/com/projectlibre/core/id/UniqueId.java,1,1,LOW,PLD-217118C9F2A4D565,review related Java symbols in the same source file
GRP-00117,FIELD,projectlibre_core,modules/projectlibre_core/src/main/java/com/projectlibre/core/nodes/AbstractNode.java,3,3,LOW,"PLD-48F441FB5E23D383,PLD-45768FE7604EE1C0,PLD-C33BA93F61F7BCA3",review related Java symbols in the same source file
GRP-00118,FIELD,projectlibre_core,modules/projectlibre_core/src/main/java/com/projectlibre/core/nodes/AbstractNodeContainer.java,1,1,LOW,PLD-41A78C8A7995E0AC,review related Java symbols in the same source file
GRP-00119,FIELD,projectlibre_core,modules/projectlibre_core/src/main/java/com/projectlibre/core/nodes/DefaultNode.java,1,1,LOW,PLD-A26CA58ED24A0DE2,review related Java symbols in the same source file
